"results.t","results.S.t","results.Z.t","results.R.t","N","beta","kappa","rho"
1,67081224,10,0,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
2,67081205,19,10,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
3,67081168,37,29,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
4,67081095,73,66,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
5,67080950,145,139,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
6,67080661,289,284,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
7,67080084,577,573,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
8,67078931,1153,1150,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
9,67076626,2305,2303,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
10,67072017,4609,4608,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
11,67062801,9216,9217,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
12,67044375,18426,18433,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
13,67007544,36831,36859,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
14,66933963,73581,73690,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
15,66787125,146838,147271,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
16,66494737,292388,294109,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
17,65915074,579663,586497,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
18,64775903,1139171,1166160,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
19,62575860,2200043,2305331,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
20,58471297,4104563,4505374,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
21,51315820,7155477,8609937,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
22,40368223,10947597,15765414,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
23,27192108,13176115,26713011,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
24,16509945,10682163,39889126,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
25,11251786,8053083,47776365,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
26,8550239,6702309,51828686,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
27,6841674,5848026,54391534,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
28,5648784,5251581,56180869,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
29,4764333,4809355,57507546,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
30,4081181,4467778,58532275,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
31,3537548,4195961,59347725,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
32,3094998,3974686,60011550,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
33,2728230,3791302,60561702,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
34,2419842,3637108,61024284,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
35,2157437,3505906,61417891,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
36,1931927,3393150,61756157,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
37,1736483,3295428,62049323,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
38,1565871,3210121,62305242,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
39,1416004,3135188,62530042,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
40,1283644,3069008,62728582,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
41,1166189,3010281,62904764,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
42,1061524,2957948,63061762,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
43,967909,2911140,63202185,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
44,883900,2869136,63328198,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
45,808290,2831330,63441614,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
46,740059,2797214,63543961,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
47,678340,2766355,63636539,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
48,622393,2738381,63720460,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
49,571579,2712974,63796681,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
50,525347,2689857,63866030,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
51,483216,2668792,63929226,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
52,444768,2649567,63986899,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
53,409634,2631999,64039601,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
54,377490,2615926,64087818,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
55,348049,2601205,64131980,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
56,321057,2587709,64172468,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
57,296287,2575324,64209623,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
58,273538,2563949,64243747,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
59,252628,2553494,64275112,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
60,233396,2543877,64303961,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
61,215695,2535026,64330513,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
62,199393,2526875,64354966,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
63,184372,2519364,64377498,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
64,170524,2512439,64398271,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
65,157751,2506052,64417431,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
66,145965,2500158,64435111,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
67,135085,2494718,64451431,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
68,125038,2489694,64466502,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
69,115757,2485053,64480424,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
70,107181,2480765,64493288,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
71,99254,2476801,64505179,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
72,91925,2473136,64516173,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
73,85147,2469747,64526340,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
74,78878,2466612,64535744,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
75,73078,2463711,64544445,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
76,67711,2461027,64552496,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
77,62743,2458543,64559948,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
78,58144,2456244,64566846,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
79,53887,2454115,64573232,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
80,49945,2452143,64579146,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
81,46294,2450317,64584623,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
82,42912,2448626,64589696,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
83,39780,2447059,64594395,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
84,36878,2445608,64598748,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
85,34190,2444263,64602781,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
86,31699,2443017,64606518,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
87,29391,2441862,64609981,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
88,27252,2440792,64613190,67081234,2.98145976265136e-08,4.47218964397703e-08,1.49072988132568e-08
