"results.t","results.S.t","results.Z.t","results.R.t","N","beta","kappa","rho"
1,467089,10,0,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
2,467070,19,10,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
3,467033,37,29,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
4,466960,73,66,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
5,466815,145,139,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
6,466526,289,284,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
7,465949,577,573,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
8,464798,1151,1150,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
9,462508,2290,2301,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
10,457974,4534,4591,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
11,449084,8890,9125,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
12,431990,17094,18015,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
13,400372,31618,35109,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
14,346170,54202,66727,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
15,265832,80338,120929,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
16,174390,91442,201267,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
17,106111,68279,292709,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
18,75090,52768,339241,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
19,58125,44285,364689,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
20,47104,38774,381221,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
21,39284,34864,392951,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
22,33420,31932,401747,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
23,28851,29647,408601,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
24,25189,27816,414094,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
25,22189,26316,418594,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
26,19689,25066,422344,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
27,17576,24010,425513,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
28,15770,23106,428223,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
29,14210,22326,430563,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
30,12852,21647,432600,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
31,11661,21052,434386,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
32,10610,20527,435962,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
33,9678,20061,437360,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
34,8847,19646,438606,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
35,8103,19274,439722,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
36,7435,18939,440725,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
37,6833,18637,441629,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
38,6288,18365,442446,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
39,5794,18118,443187,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
40,5345,17893,443861,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
41,4936,17688,444475,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
42,4563,17501,445035,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
43,4222,17330,445547,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
44,3909,17174,446016,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
45,3622,17030,446447,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
46,3358,16898,446843,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
47,3116,16776,447207,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
48,2893,16664,447542,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
49,2687,16561,447851,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
50,2497,16466,448136,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
51,2321,16378,448400,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
52,2159,16296,448644,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
53,2009,16221,448869,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
54,1870,16151,449078,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
55,1741,16087,449271,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
56,1622,16027,449450,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
57,1511,15972,449616,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
58,1408,15920,449771,467099,4.28174755244606e-06,6.42262132866908e-06,2.14087377622303e-06
