"results.t","results.S.t","results.Z.t","results.R.t","N","beta","kappa","rho"
1,29424,10,0,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
2,29405,19,10,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
3,29368,37,29,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
4,29295,73,66,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
5,29150,145,139,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
6,28863,287,284,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
7,28301,562,571,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
8,27221,1080,1133,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
9,25224,1997,2213,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
10,21802,3422,4210,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
11,16733,5069,7632,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
12,10970,5763,12701,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
13,6675,4295,18464,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
14,4727,3321,21386,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
15,3661,2787,22986,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
16,2968,2441,24025,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
17,2476,2195,24763,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
18,2107,2011,25316,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
19,1820,1867,25747,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
20,1590,1751,26093,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
21,1401,1657,26376,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
22,1244,1578,26612,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
23,1111,1511,26812,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
24,997,1454,26983,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
25,899,1405,27130,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
26,814,1362,27258,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
27,739,1325,27370,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
28,673,1292,27469,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
29,614,1263,27557,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
30,562,1236,27636,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
31,515,1213,27706,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
32,473,1192,27769,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
33,435,1173,27826,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
34,401,1155,27878,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
35,370,1139,27925,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
36,342,1125,27967,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
37,316,1112,28006,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
38,293,1100,28041,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
39,272,1089,28073,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
40,252,1079,28103,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
41,234,1070,28130,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
42,217,1062,28155,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
43,202,1054,28178,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
44,188,1047,28199,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
45,175,1040,28219,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
46,163,1034,28237,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
47,152,1028,28254,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
48,142,1023,28269,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
49,133,1018,28283,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
50,124,1014,28296,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
51,116,1010,28308,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
52,109,1006,28319,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
53,102,1002,28330,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
54,96,998,28340,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
55,90,995,28349,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
56,84,992,28358,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
57,79,989,28366,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
58,74,987,28373,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
59,70,984,28380,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
60,66,981,28387,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
61,62,979,28393,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
62,58,977,28399,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
63,55,975,28404,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
64,52,973,28409,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
65,49,971,28414,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
66,46,970,28418,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
67,43,969,28422,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
68,41,967,28426,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
69,39,965,28430,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
70,37,964,28433,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
71,35,963,28436,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
72,33,962,28439,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
73,31,961,28442,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
74,29,960,28445,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
75,28,959,28447,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
76,27,958,28449,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
77,26,957,28451,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
78,25,956,28453,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
79,24,955,28455,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
80,23,954,28457,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
81,22,953,28459,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
82,21,952,28461,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
83,20,951,28463,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
84,19,951,28464,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
85,18,951,28465,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
86,17,951,28466,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
87,16,951,28467,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
88,15,951,28468,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
89,15,950,28469,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
90,15,949,28470,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
91,15,948,28471,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
92,15,947,28472,29434,6.79486308350887e-05,0.000101922946252633,3.39743154175443e-05
