"","t","S.t","Z.t","R.t","N","beta","kappa","rho"
"1",1,499990,10,0,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"2",2,499966,24,10,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"3",3,499908,58,34,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"4",4,499768,140,92,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"5",5,499429,339,232,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"6",6,498607,822,571,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"7",7,496616,1991,1393,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"8",8,491812,4804,3384,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"9",9,480332,11480,8188,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"10",10,453538,26794,19668,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"11",11,394490,59048,46462,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"12",12,281302,113188,105510,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"13",13,126587,154717,218696,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"14",14,31420,95171,373409,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"15",15,16890,80597,402513,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"16",16,10276,73967,415757,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"17",17,6583,70269,423148,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"18",18,4336,68021,427643,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"19",19,2903,66591,430506,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"20",20,1964,65656,432380,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"21",21,1338,65035,433627,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"22",22,916,64618,434466,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"23",23,629,64337,435034,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"24",24,433,64148,435419,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"25",25,299,64020,435681,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"26",26,206,63935,435859,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"27",27,143,63878,435979,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"28",28,99,63842,436059,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"29",29,69,63819,436112,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"30",30,48,63806,436146,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
