"","t","S.t","Z.t","R.t","N","beta","kappa","rho"
"1",1,499990,10,0,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"2",2,499971,19,10,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"3",3,499934,37,29,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"4",4,499861,73,66,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"5",5,499716,145,139,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"6",6,499427,289,284,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"7",7,498850,577,573,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"8",8,497699,1151,1150,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"9",9,495408,2291,2301,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"10",10,490869,4539,4592,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"11",11,481957,8912,9131,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"12",12,464777,17180,18043,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"13",13,432838,31939,35223,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"14",14,377541,55297,67162,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"15",15,294034,83507,122459,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"16",16,195819,98215,205966,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"17",17,118890,76929,304181,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"18",18,82306,58637,359057,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"19",19,63002,48984,388014,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"20",20,50658,42812,406530,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"21",21,41983,38475,419542,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"22",22,35522,35245,429233,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"23",23,30515,32741,436744,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"24",24,26519,30743,442738,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"25",25,23258,29113,447629,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"26",26,20550,27759,451691,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"27",27,18269,26618,455113,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"28",28,16324,25646,458030,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"29",29,14650,24809,460541,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"30",30,13197,24082,462721,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"31",31,11926,23447,464627,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"32",32,10808,22888,466304,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"33",33,9819,22393,467788,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"34",34,8940,21953,469107,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"35",35,8155,21561,470284,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"36",36,7452,21210,471338,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"37",37,6820,20894,472286,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"38",38,6251,20609,473140,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"39",39,5736,20352,473912,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"40",40,5270,20118,474612,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"41",41,4846,19906,475248,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"42",42,4461,19713,475826,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"43",43,4110,19537,476353,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"44",44,3789,19377,476834,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"45",45,3496,19230,477274,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"46",46,3228,19095,477677,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"47",47,2982,18972,478046,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"48",48,2756,18859,478385,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"49",49,2549,18755,478696,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
"50",50,2358,18660,478982,5e+05,4.00000020769346e-06,6.00000004290427e-06,2.00000090645187e-06
